"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"";"CPOL-USE2.5-6";"E2,5-6";"C41, C42, C43, C44";"POLARIZED CAPACITOR, American symbol";"";
"7";"";"DIODESOD-323F";"SOD-323F";"D10, D11, D12, D13, D14, D15, D16";"Diode";"";
"1";"";"LEDLD260";"LD260";"LED1";"LED";"";
"3";"1.0k";"R-US_R0603";"R0603";"R54, R62, R67";"RESISTOR, American symbol";"";
"1";"1.5k";"R-US_R0603";"R0603";"R53";"RESISTOR, American symbol";"";
"16";"100k";"R-US_R0603";"R0603";"R12, R16, R18, R27, R33, R35, R38, R41, R51, R55, R58, R63, R64, R65, R68, R70";"RESISTOR, American symbol";"";
"17";"100n";"C-EUC0603";"C0603";"C5, C6, C7, C8, C9, C10, C11, C16, C17, C18, C19, C20, C21, C22, C26, C39, C40";"CAPACITOR, European symbol";"";
"2";"100n";"C-EUC1206";"C1206";"C3, C14";"CAPACITOR, European symbol";"";
"8";"10k";"R-US_R0603";"R0603";"R1, R14, R15, R19, R24, R29, R52, R60";"RESISTOR, American symbol";"";
"2";"10u";"CPOL-USC";"PANASONIC_C";"C4, C15";"POLARIZED CAPACITOR, American symbol";"";
"1";"150k";"R-US_R0603";"R0603";"R45";"RESISTOR, American symbol";"";
"6";"15k";"R-US_R0603";"R0603";"R2, R3, R8, R21, R36, R47";"RESISTOR, American symbol";"";
"6";"18p";"C-USC0603";"C0603";"C30, C31, C35, C36, C37, C38";"CAPACITOR, American symbol";"";
"7";"1N4148W-7";"1N4148W-7";"SOD123";"D3, D4, D5, D6, D7, D8, D9";"DIODE";"";
"2";"1N5819HW";"DIODE-SOD123";"SOD123";"D1, D2";"DIODE";"";
"1";"1k";"R-US_R0603";"R0603";"R39";"RESISTOR, American symbol";"";
"2";"1n";"C-EUC0603";"C0603";"C23, C27";"CAPACITOR, European symbol";"";
"1";"200k";"R-US_R0603";"R0603";"R69";"RESISTOR, American symbol";"";
"3";"20k";"R-US_R0603";"R0603";"R50, R66, R71";"RESISTOR, American symbol";"";
"3";"220p";"C-EUC0603";"C0603";"C25, C28, C29";"CAPACITOR, European symbol";"";
"1";"2n3904";"TRANS_NPN-MMBT2222AL";"SOT23-3";"Q1";"NPN transistor";"";
"15";"30k";"R-US_R0603";"R0603";"R4, R5, R6, R7, R10, R11, R13, R22, R28, R30, R32, R37, R42, R43, R56";"RESISTOR, American symbol";"";
"2";"330nF";"C-EUC1206";"C1206";"C2, C13";"CAPACITOR, European symbol";"";
"2";"4.7u";"CPOL-USC";"PANASONIC_C";"C1, C12";"POLARIZED CAPACITOR, American symbol";"";
"1";"4021D";"4021D";"SO16";"IC3";"8-bit static SHIFT REGISTER";"";
"1";"470k";"R-US_R0603";"R0603";"R31";"RESISTOR, American symbol";"";
"1";"47k (was 62k)";"R-US_R0603";"R0603";"R17";"RESISTOR, American symbol";"";
"4";"510";"R-US_R0603";"R0603";"R25, R44, R46, R48";"RESISTOR, American symbol";"";
"8";"51k";"R-US_R0603";"R0603";"R20, R26, R34, R40, R49, R57, R59, R61";"RESISTOR, American symbol";"";
"4";"560p";"C-EUC0603";"C0603";"C24, C32, C33, C34";"CAPACITOR, European symbol";"";
"1";"62k";"R-US_R0603";"R0603";"R9";"RESISTOR, American symbol";"";
"1";"7.5k";"R-US_R0603";"R0603";"R23";"RESISTOR, American symbol";"";
"1";"79l09";"NJM79L05UA-TE1";"SOT-89-3";"IC2";"Linear Voltage Regulators -5V .1A 3 Terminal";"";
"1";"M05X2SHD_LOCK";"M05X2SHD_LOCK";"2X5-SHROUDED_LOCK";"JP1";"Header 5x2";"";
"1";"MHPS2266";"MHPS2266";"DIPS450W80P200L600H1050Q6N";"LOOP";"APEM - MHPS2266 - \u94A5\u5319\u5F00\u5173, DPDT, 100mA, 30VDC, PCB";"";
"1";"SSI2164";"SSM2164S";"SOIC16N";"IC6";"";"";
"15";"THONKICONNNEW";"THONKICONNNEW";"WQP-PJ301M-12_JACK";"BP, CLOCK, CV_A, CV_B, CV_F, EXT_IN, HP, LP, PWM, P_A, P_B, RUN_CV, T_A, T_B, XOR";"3.5mm socket for Eurorack modular synths";"";
"1";"TL072D";"TL072D";"SO08";"IC7";"OP AMP";"";
"5";"TL074D";"TL074D";"SO14";"IC4, IC5, IC8, IC9, IC10";"OP AMP";"";
"11";"b10k";"9MM_SNAP-IN_POT_";"9MM_SNAP-IN_POT";"FREQ, MOD_A, MOD_B, MOD_F, OS, OSC_A, OSC_B, RES, RUN_A, RUN_B, RUN_F";"9mm vertical snap-in pot, Alpha / Panasonic style";"";
"1";"lm78l09";"78LXX-SOT89";"SOT89";"IC1";"VOLTAGE REGULATOR";"";
